Dex No.,Name,Forme,Classification,Generation,Primary Type,Secondary Type,Ability 1,Ability 2,Hidden Ability,Gender,Male Gender Ratio,Female Gender Ratio,Catch Rate,Egg Group 1,Egg Group 2,Hatch Time Cycles,Height (In),Height (M),Weight (Lbs),Weight (Kg),Mega Stone 1,Mega Stone 2,EXP Yield (Gen I),EXP Yield (Gen II),EXP Yield (Gen III),EXP Yield (Gen IV),EXP Yield (Gen V+),Leveling Rate,EV Yield (HP),EV Yield (Attack),EV Yield (Defense),EV Yield (Sp.Atk),EV Yield (Sp.Def),EV Yield (Speed),Shape Img URL,Footprint Img Url,Base Friendship,Base HP,Base Attack,Base Defense,Base Special Attack,Base Special Defense,Base Speed,Base Stat Total,Color
521,Unfezant,,Proud,5,Normal,Flying,Big Pecks,Super Luck,Rivalry,,0.5,0.5,45,Flying,,15,47,1.2,63.9,29.0,,,,,,,220,Medium Slow,0,3,0,0,0,0,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/f/fa/F0521.png,70,||||80|80|80|80|80,||||105|115|115|115|115,||||80|80|80|80|80,||||65|65|65|65|65,||||55|55|55|55|55,||||93|93|93|93|93,||||478|488|488|488|488,Gray
522,Blitzle,,Electrified,5,Electric,,Lightning Rod,Motor Drive,Sap Sipper,,0.5,0.5,190,Field,,20,31,0.8,65.7,29.8,,,,,,,59,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/c/cf/F0522.png,70,||||45|45|45|45|45,||||60|60|60|60|60,||||32|32|32|32|32,||||50|50|50|50|50,||||32|32|32|32|32,||||76|76|76|76|76,||||295|295|295|295|295,Black
523,Zebstrika,,Thunderbolt,5,Electric,,Lightning Rod,Motor Drive,Sap Sipper,,0.5,0.5,75,Field,,20,63,1.6,175.3,79.5,,,,,,,174,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/7/77/F0523.png,70,||||75|75|75|75|75,||||100|100|100|100|100,||||63|63|63|63|63,||||80|80|80|80|80,||||63|63|63|63|63,||||116|116|116|116|116,||||497|497|497|497|497,Black
524,Roggenrola,,Mantle,5,Rock,,Sturdy,Weak Armor,Sand Force,,0.5,0.5,255,Mineral,,15,16,0.4,39.7,18.0,,,,,,,56,Medium Slow,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/b/bc/Body07.png,https://archives.bulbagarden.net/media/upload/a/a2/F0524.png,70,||||55|55|55|55|55,||||75|75|75|75|75,||||85|85|85|85|85,||||25|25|25|25|25,||||25|25|25|25|25,||||15|15|15|15|15,||||280|280|280|280|280,Blue
525,Boldore,,Ore,5,Rock,,Sturdy,Weak Armor,Sand Force,,0.5,0.5,120,Mineral,,15,35,0.9,224.9,102.0,,,,,,,137,Medium Slow,0,1,1,0,0,0,https://archives.bulbagarden.net/media/upload/9/97/Body10.png,https://archives.bulbagarden.net/media/upload/e/e6/F0525.png,70,||||70|70|70|70|70,||||105|105|105|105|105,||||105|105|105|105|105,||||50|50|50|50|50,||||40|40|40|40|40,||||20|20|20|20|20,||||390|390|390|390|390,Blue
526,Gigalith,,Compressed,5,Rock,,Sturdy,Sand Stream,Sand Force,,0.5,0.5,45,Mineral,,15,67,1.7,573.2,260.0,,,,,,,232,Medium Slow,0,3,0,0,0,0,https://archives.bulbagarden.net/media/upload/9/97/Body10.png,https://archives.bulbagarden.net/media/upload/3/38/F0526.png,70,||||85|85|85|85|85,||||135|135|135|135|135,||||130|130|130|130|130,||||60|60|60|60|60,||||70|80|80|80|80,||||25|25|25|25|25,||||505|515|515|515|515,Blue
527,Woobat,,Bat,5,Psychic,Flying,Unaware,Klutz,Simple,,0.5,0.5,190,Field,Flying,15,16,0.4,4.6,2.1,,,,,,,65,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/6/67/F0527.png,70,||||55|55|65|65|65,||||45|45|45|45|45,||||43|43|43|43|43,||||55|55|55|55|55,||||43|43|43|43|43,||||72|72|72|72|72,||||313|313|323|323|323,Blue
528,Swoobat,,Courting,5,Psychic,Flying,Unaware,Klutz,Simple,,0.5,0.5,45,Field,Flying,15,35,0.9,23.1,10.5,,,,,,,149,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/c/c9/F0528.png,70,||||67|67|67|67|67,||||57|57|57|57|57,||||55|55|55|55|55,||||77|77|77|77|77,||||55|55|55|55|55,||||114|114|114|114|114,||||425|425|425|425|425,Blue
529,Drilbur,,Mole,5,Ground,,Sand Rush,Sand Force,Mold Breaker,,0.5,0.5,120,Field,,20,12,0.3,18.7,8.5,,,,,,,66,Medium Fast,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/0b/F0529.png,70,||||60|60|60|60|60,||||85|85|85|85|85,||||40|40|40|40|40,||||30|30|30|30|30,||||45|45|45|45|45,||||68|68|68|68|68,||||328|328|328|328|328,Gray
530,Excadrill,,Subterrene,5,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,,0.5,0.5,60,Field,,20,28,0.7,89.1,40.4,,,,,,,178,Medium Fast,0,2,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/3/3a/F0530.png,70,||||110|110|110|110|110,||||135|135|135|135|135,||||60|60|60|60|60,||||50|50|50|50|50,||||65|65|65|65|65,||||88|88|88|88|88,||||508|508|508|508|508,Gray
531,Audino,,Hearing,5,Normal,,Healer,Regenerator,Klutz,,0.5,0.5,255,Fairy,,20,43,1.1,68.3,31.0,Audinite,,,,,,390,Fast,2,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/83/F0531.png,70,||||103|103|103|103|103,||||60|60|60|60|60,||||86|86|86|86|86,||||60|60|60|60|60,||||86|86|86|86|86,||||50|50|50|50|50,||||445|445|445|445|445,Pink
531,Audino,Mega Audino,Hearing,6,Normal,Fairy,Healer,,,,0.5,0.5,255,Fairy,,20,59,1.5,70.5,32.0,Audinite,,,,,,390,Fast,2,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/83/F0531.png,70,|||||103|103|103|103,|||||60|60|60|60,|||||126|126|126|126,|||||80|80|80|80,|||||126|126|126|126,|||||50|50|50|50,|||||545|545|545|545,White
532,Timburr,,Muscular,5,Fighting,,Guts,Sheer Force,Iron Fist,,0.75,0.25,180,Human-Like,,20,24,0.6,27.6,12.5,,,,,,,61,Medium Slow,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/5/52/F0532.png,70,||||75|75|75|75|75,||||80|80|80|80|80,||||55|55|55|55|55,||||25|25|25|25|25,||||35|35|35|35|35,||||35|35|35|35|35,||||305|305|305|305|305,Gray
533,Gurdurr,,Muscular,5,Fighting,,Guts,Sheer Force,Iron Fist,,0.75,0.25,90,Human-Like,,20,47,1.2,88.2,40.0,,,,,,,142,Medium Slow,0,2,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/d/d3/F0533.png,70,||||85|85|85|85|85,||||105|105|105|105|105,||||85|85|85|85|85,||||40|40|40|40|40,||||50|50|50|50|50,||||40|40|40|40|40,||||405|405|405|405|405,Gray
534,Conkeldurr,,Muscular,5,Fighting,,Guts,Sheer Force,Iron Fist,,0.75,0.25,45,Human-Like,,20,55,1.4,191.8,87.0,,,,,,,227,Medium Slow,0,3,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/8/8f/F0534.png,70,||||105|105|105|105|105,||||140|140|140|140|140,||||95|95|95|95|95,||||55|55|55|55|55,||||65|65|65|65|65,||||45|45|45|45|45,||||505|505|505|505|505,Brown
535,Tympole,,Tadpole,5,Water,,Swift Swim,Hydration,Water Absorb,,0.5,0.5,255,Water 1,,20,20,0.5,9.9,4.5,,,,,,,59,Medium Slow,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/d/d3/Body03.png,https://archives.bulbagarden.net/media/upload/0/0b/F0535.png,70,||||50|50|50|50|50,||||50|50|50|50|50,||||40|40|40|40|40,||||50|50|50|50|50,||||40|40|40|40|40,||||64|64|64|64|64,||||294|294|294|294|294,Blue
536,Palpitoad,,Vibration,5,Water,Ground,Swift Swim,Hydration,Water Absorb,,0.5,0.5,120,Water 1,,20,31,0.8,37.5,17.0,,,,,,,134,Medium Slow,2,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/2/26/F0536.png,70,||||75|75|75|75|75,||||65|65|65|65|65,||||55|55|55|55|55,||||65|65|65|65|65,||||55|55|55|55|55,||||69|69|69|69|69,||||384|384|384|384|384,Blue
537,Seismitoad,,Vibration,5,Water,Ground,Swift Swim,Poison Touch,Water Absorb,,0.5,0.5,45,Water 1,,20,59,1.5,136.7,62.0,,,,,,,229,Medium Slow,3,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/7/7a/F0537.png,70,||||105|105|105|105|105,||||85|95|95|95|95,||||75|75|75|75|75,||||85|85|85|85|85,||||75|75|75|75|75,||||74|74|74|74|74,||||499|509|509|509|509,Blue
538,Throh,,Judo,5,Fighting,,Guts,Inner Focus,Mold Breaker,M,1,0,45,Human-Like,,20,51,1.3,122.4,55.5,,,,,,,163,Medium Fast,2,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/3/3d/F0538.png,70,||||120|120|120|120|120,||||100|100|100|100|100,||||85|85|85|85|85,||||30|30|30|30|30,||||85|85|85|85|85,||||45|45|45|45|45,||||465|465|465|465|465,Red
539,Sawk,,Karate,5,Fighting,,Sturdy,Inner Focus,Mold Breaker,M,1,0,45,Human-Like,,20,55,1.4,112.4,51.0,,,,,,,163,Medium Fast,0,2,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/1/15/F0539.png,70,||||75|75|75|75|75,||||125|125|125|125|125,||||75|75|75|75|75,||||30|30|30|30|30,||||75|75|75|75|75,||||85|85|85|85|85,||||465|465|465|465|465,Blue
540,Sewaddle,,Sewing,5,Bug,Grass,Swarm,Chlorophyll,Overcoat,,0.5,0.5,255,Bug,,15,12,0.3,5.5,2.5,,,,,,,62,Medium Slow,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/8/8d/F0540.png,70,||||45|45|45|45|45,||||53|53|53|53|53,||||70|70|70|70|70,||||40|40|40|40|40,||||60|60|60|60|60,||||42|42|42|42|42,||||310|310|310|310|310,Yellow
541,Swadloon,,Leaf-Wrapped,5,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,,0.5,0.5,120,Bug,,15,20,0.5,16.1,7.3,,,,,,,133,Medium Slow,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/2/2c/Body04.png,https://archives.bulbagarden.net/media/upload/b/b2/F0541.png,70,||||55|55|55|55|55,||||63|63|63|63|63,||||90|90|90|90|90,||||50|50|50|50|50,||||80|80|80|80|80,||||42|42|42|42|42,||||380|380|380|380|380,Green
542,Leavanny,,Nurturing,5,Bug,Grass,Swarm,Chlorophyll,Overcoat,,0.5,0.5,45,Bug,,15,47,1.2,45.2,20.5,,,,,,,225,Medium Slow,0,3,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/c/c7/F0542.png,70,||||75|75|75|75|75,||||103|103|103|103|103,||||80|80|80|80|80,||||70|70|70|70|70,||||70|80|80|80|80,||||92|92|92|92|92,||||490|500|500|500|500,Yellow
543,Venipede,,Centipede,5,Bug,Poison,Poison Point,Swarm,Speed Boost,,0.5,0.5,255,Bug,,15,16,0.4,11.7,5.3,,,,,,,52,Medium Slow,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/b/b2/F0543.png,70,||||30|30|30|30|30,||||45|45|45|45|45,||||59|59|59|59|59,||||30|30|30|30|30,||||39|39|39|39|39,||||57|57|57|57|57,||||260|260|260|260|260,Red
544,Whirlipede,,Curlipede,5,Bug,Poison,Poison Point,Swarm,Speed Boost,,0.5,0.5,120,Bug,,15,47,1.2,129.0,58.5,,,,,,,126,Medium Slow,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/1/17/Body01.png,https://archives.bulbagarden.net/media/upload/5/58/F0544.png,70,||||40|40|40|40|40,||||55|55|55|55|55,||||99|99|99|99|99,||||40|40|40|40|40,||||79|79|79|79|79,||||47|47|47|47|47,||||360|360|360|360|360,Gray
545,Scolipede,,Megapede,5,Bug,Poison,Poison Point,Swarm,Speed Boost,,0.5,0.5,45,Bug,,20,98,2.5,442.0,200.5,,,,,,,218,Medium Slow,0,0,0,0,0,3,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/6/61/F0545.png,70,||||60|60|60|60|60,||||90|100|100|100|100,||||89|89|89|89|89,||||55|55|55|55|55,||||69|69|69|69|69,||||112|112|112|112|112,||||475|485|485|485|485,Red
546,Cottonee,,Cotton Puff,5,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,,0.5,0.5,190,Grass,Fairy,20,12,0.3,1.3,0.6,,,,,,,56,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/1/17/Body01.png,https://archives.bulbagarden.net/media/upload/e/ee/F0546.png,70,||||40|40|40|40|40,||||27|27|27|27|27,||||60|60|60|60|60,||||37|37|37|37|37,||||50|50|50|50|50,||||66|66|66|66|66,||||280|280|280|280|280,Green
547,Whimsicott,,Windveiled,5,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,,0.5,0.5,75,Grass,Fairy,20,28,0.7,14.6,6.6,,,,,,,168,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/2/21/F0547.png,70,||||60|60|60|60|60,||||67|67|67|67|67,||||85|85|85|85|85,||||77|77|77|77|77,||||75|75|75|75|75,||||116|116|116|116|116,||||480|480|480|480|480,Green
548,Petilil,,Bulb,5,Grass,,Chlorophyll,Own Tempo,Leaf Guard,F,0,1,190,Grass,,20,20,0.5,14.6,6.6,,,,,,,56,Medium Fast,0,0,0,1,0,0,https://archives.bulbagarden.net/media/upload/d/da/Body05.png,https://archives.bulbagarden.net/media/upload/5/5e/F0548.png,70,||||45|45|45|45|45,||||35|35|35|35|35,||||50|50|50|50|50,||||70|70|70|70|70,||||50|50|50|50|50,||||30|30|30|30|30,||||280|280|280|280|280,Green
549,Lilligant,,Flowering,5,Grass,,Chlorophyll,Own Tempo,Leaf Guard,F,0,1,75,Grass,,20,43,1.1,35.9,16.3,,,,,,,168,Medium Fast,0,0,0,2,0,0,https://archives.bulbagarden.net/media/upload/d/da/Body05.png,https://archives.bulbagarden.net/media/upload/4/4e/F0549.png,70,||||70|70|70|70|70,||||60|60|60|60|60,||||75|75|75|75|75,||||110|110|110|110|110,||||75|75|75|75|75,||||90|90|90|90|90,||||480|480|480|480|480,Green
549,Lilligant,Hisuian Lilligant,Spinning,8,Grass,Fighting,Chlorophyll,Hustle,Leaf Guard,F,0,1,75,Grass,,20,47,1.2,42.3,19.2,,,,,,,168,Medium Fast,0,0,0,2,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/4/4e/F0549.png,70,|||||||70|70,|||||||105|105,|||||||75|75,|||||||50|50,|||||||75|75,|||||||105|105,|||||||480|480,Green
550,Basculin,Red-Striped Form,Hostile,5,Water,,Reckless,Adaptability,Mold Breaker,,0.5,0.5,25,Water 2,,40,39,1.0,39.7,18.0,,,,,,,161,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/d/d3/Body03.png,https://archives.bulbagarden.net/media/upload/4/48/F0550.png,70,||||70|70|70|70|70,||||92|92|92|92|92,||||65|65|65|65|65,||||80|80|80|80|80,||||55|55|55|55|55,||||98|98|98|98|98,||||460|460|460|460|460,Green
550,Basculin,Blue-Striped Form,Hostile,5,Water,,Rock Head,Adaptability,Mold Breaker,,0.5,0.5,25,Water 2,,40,39,1.0,39.7,18.0,,,,,,,161,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/d/d3/Body03.png,https://archives.bulbagarden.net/media/upload/4/48/F0550.png,70,||||70|70|70|70|70,||||92|92|92|92|92,||||65|65|65|65|65,||||80|80|80|80|80,||||55|55|55|55|55,||||98|98|98|98|98,||||460|460|460|460|460,Green
550,Basculin,White-Striped Form,Mellow,5,Water,,Rattled,Adaptability,Mold Breaker,,0.5,0.5,25,Water 2,,40,39,1.0,39.7,18.0,,,,,,,161,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/d/d3/Body03.png,https://archives.bulbagarden.net/media/upload/4/48/F0550.png,70,||||70|70|70|70|70,||||92|92|92|92|92,||||65|65|65|65|65,||||80|80|80|80|80,||||55|55|55|55|55,||||98|98|98|98|98,||||460|460|460|460|460,Green
551,Sandile,,Desert Croc,5,Ground,Dark,Intimidate,Moxie,Anger Point,,0.5,0.5,180,Field,,20,28,0.7,33.5,15.2,,,,,,,58,Medium Slow,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/e/e2/F0551.png,70,||||50|50|50|50|50,||||72|72|72|72|72,||||35|35|35|35|35,||||35|35|35|35|35,||||35|35|35|35|35,||||65|65|65|65|65,||||292|292|292|292|292,Brown
552,Krokorok,,Desert Croc,5,Ground,Dark,Intimidate,Moxie,Anger Point,,0.5,0.5,90,Field,,20,39,1.0,73.6,33.4,,,,,,,123,Medium Slow,0,2,0,0,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/b/b4/F0552.png,70,||||60|60|60|60|60,||||82|82|82|82|82,||||45|45|45|45|45,||||45|45|45|45|45,||||45|45|45|45|45,||||74|74|74|74|74,||||351|351|351|351|351,Brown
553,Krookodile,,Intimidation,5,Ground,Dark,Intimidate,Moxie,Anger Point,,0.5,0.5,45,Field,,20,59,1.5,212.3,96.3,,,,,,,234,Medium Slow,0,3,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/06/F0553.png,70,||||95|95|95|95|95,||||117|117|117|117|117,||||70|80|80|80|80,||||65|65|65|65|65,||||70|70|70|70|70,||||92|92|92|92|92,||||509|519|519|519|519,Red
554,Darumaka,,Zen Charm,5,Fire,,Hustle,,Inner Focus,,0.5,0.5,120,Field,,20,24,0.6,82.7,37.5,,,,,,,63,Medium Slow,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/f/f6/F0554.png,70,||||70|70|70|70|70,||||90|90|90|90|90,||||45|45|45|45|45,||||15|15|15|15|15,||||45|45|45|45|45,||||50|50|50|50|50,||||315|315|315|315|315,Red
554,Darumaka,Galarian Darumaka,Zen Charm,8,Ice,,Hustle,,Inner Focus,,0.5,0.5,120,Field,,20,28,0.7,88.2,40.0,,,,,,,63,Medium Slow,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/f/f6/F0554.png,70,|||||||70|70,|||||||90|90,|||||||45|45,|||||||15|15,|||||||45|45,|||||||50|50,|||||||315|315,White
555,Darmanitan,Standard Mode,Blazing,5,Fire,,Sheer Force,,Zen Mode,,0.5,0.5,60,Field,,20,51,1.3,204.8,92.9,,,,,,,168,Medium Slow,0,2,0,0,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/a/ab/F0555.png,70,||||105|105|105|105|105,||||140|140|140|140|140,||||55|55|55|55|55,||||30|30|30|30|30,||||55|55|55|55|55,||||95|95|95|95|95,||||480|480|480|480|480,Red
555,Darmanitan,Galarian Standard Mode,Zen Charm,8,Ice,,Gorilla Tactics,,Zen Mode,,0.5,0.5,60,Field,,20,67,1.7,264.6,120.0,,,,,,,168,Medium Slow,0,2,0,0,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/a/ab/F0555.png,70,|||||||105|105,|||||||140|140,|||||||55|55,|||||||30|30,|||||||55|55,|||||||95|95,|||||||480|480,White
555,Darmanitan,Zen Mode,Blazing,5,Fire,Psychic,Zen Mode,,,,0.5,0.5,60,Field,,20,51,1.3,204.8,92.9,,,,,,,168,Medium Slow,0,0,0,2,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/a/ab/F0555.png,70,||||105|105|105|105|105,||||30|30|30|30|30,||||105|105|105|105|105,||||140|140|140|140|140,||||105|105|105|105|105,||||55|55|55|55|55,||||540|540|540|540|540,Blue
555,Darmanitan,Galarian Zen Mode,Zen Charm,8,Ice,Fire,Zen Mode,,,,0.5,0.5,60,Field,,20,67,1.7,264.6,120.0,,,,,,,168,Medium Slow,0,0,0,2,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/a/ab/F0555.png,70,|||||||105|105,|||||||160|160,|||||||55|55,|||||||30|30,|||||||55|55,|||||||135|135,|||||||540|540,White
556,Maractus,,Cactus,5,Grass,,Water Absorb,Chlorophyll,Storm Drain,,0.5,0.5,255,Grass,,20,39,1.0,61.7,28.0,,,,,,,161,Medium Fast,0,0,0,2,0,0,https://archives.bulbagarden.net/media/upload/d/da/Body05.png,https://archives.bulbagarden.net/media/upload/d/d1/F0556.png,70,||||75|75|75|75|75,||||86|86|86|86|86,||||67|67|67|67|67,||||106|106|106|106|106,||||67|67|67|67|67,||||60|60|60|60|60,||||461|461|461|461|461,Green
557,Dwebble,,Rock Inn,5,Bug,Rock,Sturdy,Shell Armor,Weak Armor,,0.5,0.5,190,Bug,Mineral,20,12,0.3,32.0,14.5,,,,,,,65,Medium Fast,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/7/78/F0557.png,70,||||50|50|50|50|50,||||65|65|65|65|65,||||85|85|85|85|85,||||35|35|35|35|35,||||35|35|35|35|35,||||55|55|55|55|55,||||325|325|325|325|325,Red
558,Crustle,,Stone Home,5,Bug,Rock,Sturdy,Shell Armor,Weak Armor,,0.5,0.5,75,Bug,Mineral,20,55,1.4,440.9,200.0,,,,,,,170,Medium Fast,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/5/5a/F0558.png,70,||||70|70|70|70|70,||||95|95|105|105|105,||||125|125|125|125|125,||||65|65|65|65|65,||||75|75|75|75|75,||||45|45|45|45|45,||||475|475|485|485|485,Red
559,Scraggy,,Shedding,5,Dark,Fighting,Shed Skin,Moxie,Intimidate,,0.5,0.5,180,Field,Dragon,15,24,0.6,26.0,11.8,,,,,,,70,Medium Fast,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/05/F0559.png,35,||||50|50|50|50|50,||||75|75|75|75|75,||||70|70|70|70|70,||||35|35|35|35|35,||||70|70|70|70|70,||||48|48|48|48|48,||||348|348|348|348|348,Yellow
560,Scrafty,,Hoodlum,5,Dark,Fighting,Shed Skin,Moxie,Intimidate,,0.5,0.5,90,Field,Dragon,15,43,1.1,66.1,30.0,,,,,,,171,Medium Fast,0,0,1,0,1,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/a/a7/F0560.png,70,||||65|65|65|65|65,||||90|90|90|90|90,||||115|115|115|115|115,||||45|45|45|45|45,||||115|115|115|115|115,||||58|58|58|58|58,||||488|488|488|488|488,Red
561,Sigilyph,,Avianoid,5,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,,0.5,0.5,45,Flying,,20,55,1.4,30.9,14.0,,,,,,,172,Medium Fast,0,0,0,2,0,0,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/9/9f/F0561.png,70,||||72|72|72|72|72,||||58|58|58|58|58,||||80|80|80|80|80,||||103|103|103|103|103,||||80|80|80|80|80,||||97|97|97|97|97,||||490|490|490|490|490,Black
562,Yamask,,Spirit,5,Ghost,,Mummy,,,,0.5,0.5,190,Mineral,Amorphous,25,20,0.5,3.3,1.5,,,,,,,61,Medium Fast,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/2/2c/Body04.png,https://archives.bulbagarden.net/media/upload/c/c6/F0562.png,70,||||38|38|38|38|38,||||30|30|30|30|30,||||85|85|85|85|85,||||55|55|55|55|55,||||65|65|65|65|65,||||30|30|30|30|30,||||303|303|303|303|303,Black
562,Yamask,Galarian Yamask,Spirit,8,Ground,Ghost,Wandering Spirit,,,,0.5,0.5,190,Mineral,Amorphous,25,20,0.5,3.3,1.5,,,,,,,61,Medium Fast,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/2/2c/Body04.png,https://archives.bulbagarden.net/media/upload/c/c6/F0562.png,70,|||||||38|38,|||||||55|55,|||||||85|85,|||||||30|30,|||||||65|65,|||||||30|30,|||||||303|303,Black
563,Cofagrigus,,Coffin,5,Ghost,,Mummy,,,,0.5,0.5,90,Mineral,Amorphous,25,67,1.7,168.7,76.5,,,,,,,169,Medium Fast,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/d/da/Body05.png,https://archives.bulbagarden.net/media/upload/8/83/F0563.png,70,||||58|58|58|58|58,||||50|50|50|50|50,||||145|145|145|145|145,||||95|95|95|95|95,||||105|105|105|105|105,||||30|30|30|30|30,||||483|483|483|483|483,Yellow
564,Tirtouga,,Prototurtle,5,Water,Rock,Solid Rock,Sturdy,Swift Swim,,0.875,0.125,45,Water 1,Water 3,30,28,0.7,36.4,16.5,,,,,,,71,Medium Fast,0,0,1,0,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/e/e2/F0564.png,70,||||54|54|54|54|54,||||78|78|78|78|78,||||103|103|103|103|103,||||53|53|53|53|53,||||45|45|45|45|45,||||22|22|22|22|22,||||355|355|355|355|355,Blue
565,Carracosta,,Prototurtle,5,Water,Rock,Solid Rock,Sturdy,Swift Swim,,0.875,0.125,45,Water 1,Water 3,30,47,1.2,178.6,81.0,,,,,,,173,Medium Fast,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/6/6c/F0565.png,70,||||74|74|74|74|74,||||108|108|108|108|108,||||133|133|133|133|133,||||83|83|83|83|83,||||65|65|65|65|65,||||32|32|32|32|32,||||495|495|495|495|495,Blue
